	Acagra	Aedaeg	Ampfan	Anocar	Apimel	Apla	Aplcal	Beraby	Bflo	Bolinf	Bracal	Brumal	Bugner	Cgig	Chrper	Clim	Coeast	Cowc	Cscu	Ctel	Dgig	Dpul	Drer	Drygla	Dugjap	Exapal	Folcan	Galgal	Hduj	Hhon	Hsap	Hvul	Leuniv	Linana	Linlon	Mbre	Morvir	Nemnom	Ocar	Oikdio	Phoaus	Pricau	Ptyfla	Rhopro	Stycar	Tcas
Hvul	0	0	0	0	0	0	1	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1
Leuniv	1	0	0	0	0	0	2	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	2	0
Linana	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	1	6	0	1	0	0	1	1	0	0	1	0	0	0	0	0	9	0	0	1	0	0	0	1	1	0	0	0
Linlon	5	1	1	0	0	0	3	0	0	2	0	1	0	0	1	0	0	0	0	2	0	1	2	0	2	2	0	0	1	0	2	0	0	3	0	0	0	1	0	0	1	2	0	0	0	0
Mbre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Morvir	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Nemnom	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0
Ocar	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oikdio	0	0	0	0	0	2	0	0	1	0	1	2	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	3	1	1	0	0	2	0	0	1	1	0	0	0	3	0	0	1	1
Phoaus	0	0	2	0	0	1	3	0	2	1	2	1	5	2	2	0	1	0	3	2	0	1	0	0	2	2	0	0	1	0	1	0	1	0	5	0	0	0	1	1	0	2	0	0	0	0
Pricau	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0
Ptyfla	0	0	5	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	1	0	0	0	0	3	4	0	1	0	0	2	0	3	0	1	0	0
Rhopro	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stycar	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Tcas	1	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
