gene_family	speciation	speciation_loss	duplication	transfer	transfer_loss	loss	number_gene_copies	number_species
OG0000270	4	1	6	0	0	0	11	5
OG0000275	2	0	5	3	0	0	11	5
OG0000276	3	0	7	0	0	0	11	4
OG0000280	3	0	2	3	0	0	9	7
OG0000281	8	0	1	0	0	0	10	9
OG0000282	5	1	2	2	0	0	10	7
OG0000283	6	0	3	0	0	0	10	7
OG0000286	3	0	4	2	0	0	10	6
OG0000288	3	0	5	1	0	0	10	5
OG0000290	2	0	6	1	0	0	10	4
OG0000292	1	0	5	2	0	0	9	4
OG0000293	2	0	5	2	0	0	10	5
OG0000294	3	1	5	0	0	0	9	4
OG0000298	4	1	5	0	0	0	10	5
OG0000302	3	0	3	2	0	0	9	5
OG0000303	3	0	2	4	0	0	10	7
OG0000310	8	0	0	0	0	0	9	9
OG0000311	4	0	4	0	0	0	9	5
OG0000312	2	0	2	3	0	0	8	6
OG0000313	6	1	0	2	0	0	9	9
OG0000314	6	1	1	1	0	0	9	8
OG0000315	6	0	2	0	0	0	9	7
OG0000318	1	0	5	2	0	0	9	4
OG0000319	5	1	3	0	0	0	9	6
OG0000323	7	1	0	1	0	0	9	8
OG0000326	7	1	0	1	0	0	9	8
OG0000332	2	0	5	1	0	0	9	4
OG0000333	2	1	3	3	0	0	9	4
OG0000335	2	0	5	1	0	0	9	4
OG0000337	6	2	0	2	0	0	9	4
OG0000340	3	0	4	1	0	0	9	5
OG0000341	4	1	4	0	0	0	9	5
OG0000345	6	1	1	1	0	0	9	8
OG0000350	2	0	5	1	0	0	9	4
OG0000353	5	0	1	1	0	0	8	6
OG0000354	6	0	1	0	0	0	8	7
OG0000355	5	0	1	1	0	0	8	6
OG0000357	4	1	0	3	0	0	8	5
OG0000358	2	0	3	2	0	0	8	4
OG0000360	4	2	1	2	0	0	8	6
OG0000361	3	0	1	3	0	0	8	5
OG0000363	2	0	3	1	0	0	7	4
OG0000364	5	1	2	0	0	0	8	6
OG0000368	0	0	3	4	0	0	8	5
OG0000369	3	0	4	0	0	0	8	4
OG0000371	3	1	3	1	0	0	8	4
OG0000373	3	1	3	1	0	0	8	4
OG0000378	3	1	1	1	0	0	6	4
OG0000379	1	0	3	3	0	0	8	5
OG0000382	3	1	2	2	0	0	8	6
OG0000383	1	0	4	2	0	0	8	4
OG0000385	3	0	0	4	0	0	8	8
OG0000387	6	1	0	0	0	0	7	7
OG0000388	1	0	3	3	0	0	8	5
OG0000389	1	0	4	2	0	0	8	4
OG0000390	3	1	3	0	0	0	7	4
OG0000391	3	0	3	1	0	0	8	5
OG0000392	0	0	4	3	0	0	8	4
OG0000394	4	1	3	0	0	0	8	5
OG0000395	3	0	2	2	0	0	8	5
OG0000396	6	1	0	1	0	0	8	7
OG0000399	4	1	2	0	0	0	7	5
OG0000400	5	2	1	1	0	0	8	7
OG0000401	3	1	2	0	0	0	6	4
OG0000403	2	0	4	1	0	0	8	4
OG0000404	3	0	4	0	0	0	8	4
OG0000405	1	0	4	2	0	0	8	4
OG0000410	1	0	3	3	0	0	8	5
OG0000428	4	0	0	2	0	0	7	5
OG0000429	4	0	1	1	0	0	7	5
OG0000430	3	1	2	1	0	0	7	5
OG0000432	5	0	1	0	0	0	7	6
OG0000434	3	0	3	0	0	0	7	4
OG0000441	3	0	1	2	0	0	7	6
OG0000442	1	0	3	2	0	0	7	4
OG0000444	4	0	2	0	0	0	7	5
OG0000445	5	1	0	1	0	0	7	6
OG0000455	2	0	2	2	0	0	7	4
OG0000456	2	0	0	4	0	0	7	7
OG0000460	5	1	1	0	0	0	7	6
OG0000464	3	0	0	3	0	0	7	6
OG0000465	1	0	2	3	0	0	7	5
OG0000468	2	0	2	2	0	0	7	5
OG0000469	4	0	0	2	0	0	7	6
OG0000471	3	1	2	1	0	0	7	4
OG0000472	2	1	3	1	0	0	7	4
OG0000473	4	0	0	2	0	0	7	6
OG0000474	3	1	3	0	0	0	7	4
OG0000475	3	0	0	3	0	0	7	5
OG0000476	2	0	3	0	0	0	6	4
OG0000477	4	1	0	2	0	0	7	5
OG0000478	4	1	2	0	0	0	7	5
OG0000485	2	0	2	2	0	0	7	5
OG0000496	3	1	2	1	0	0	7	5
OG0000501	5	0	0	0	0	0	6	6
OG0000503	2	0	0	3	0	0	6	4
OG0000504	3	0	2	0	0	0	6	4
OG0000505	4	0	1	0	0	0	6	5
OG0000508	2	0	0	3	0	0	6	6
OG0000511	3	1	1	1	0	0	6	4
OG0000512	2	1	2	1	0	0	6	4
OG0000516	3	0	2	0	0	0	6	4
OG0000518	2	0	1	2	0	0	6	5
OG0000521	5	1	0	0	0	0	6	6
OG0000528	2	1	2	0	0	0	5	4
OG0000542	1	0	2	2	0	0	6	4
OG0000544	3	1	2	0	0	0	6	4
OG0000549	3	1	2	0	0	0	6	4
OG0000550	1	0	1	3	0	0	6	4
OG0000551	5	1	0	0	0	0	6	6
OG0000552	1	0	2	2	0	0	6	4
OG0000559	4	1	1	0	0	0	6	5
OG0000564	4	1	1	0	0	0	6	5
OG0000567	2	0	1	1	0	0	5	4
OG0000572	3	1	0	2	0	0	6	5
OG0000573	3	1	2	0	0	0	6	4
OG0000575	2	0	1	2	0	0	6	5
OG0000576	1	0	2	2	0	0	6	4
OG0000580	2	0	0	3	0	0	6	6
OG0000585	2	0	1	2	0	0	6	5
OG0000587	2	0	1	2	0	0	6	5
OG0000588	1	0	2	2	0	0	6	4
OG0000589	4	1	1	0	0	0	6	5
OG0000590	3	1	2	0	0	0	6	4
OG0000593	2	0	1	2	0	0	6	5
OG0000596	3	1	2	0	0	0	6	4
OG0000597	4	1	1	0	0	0	6	5
OG0000598	3	1	2	0	0	0	6	4
OG0000601	1	0	1	3	0	0	6	5
OG0000602	2	0	1	2	0	0	6	5
OG0000616	2	0	0	3	0	0	6	4
OG0000619	2	0	1	0	0	0	4	4
OG0000620	3	0	1	0	0	0	5	4
OG0000621	4	0	0	0	0	0	5	5
OG0000623	3	0	1	0	0	0	5	4
OG0000628	3	1	0	0	0	0	4	4
OG0000634	1	0	1	2	0	0	5	4
OG0000636	2	0	1	1	0	0	5	4
OG0000639	3	0	1	0	0	0	5	4
OG0000644	2	0	1	1	0	0	5	4
OG0000646	1	0	1	2	0	0	5	4
OG0000649	2	0	0	2	0	0	5	4
OG0000650	3	0	1	0	0	0	5	4
OG0000693	3	1	1	0	0	0	5	4
OG0000694	1	0	0	2	0	0	4	4
OG0000695	4	1	0	0	0	0	5	5
OG0000696	1	0	1	2	0	0	5	4
OG0000697	3	1	1	0	0	0	5	4
OG0000702	3	1	0	1	0	0	5	4
OG0000705	3	1	1	0	0	0	5	4
OG0000706	3	0	0	1	0	0	5	5
OG0000714	2	0	1	1	0	0	5	4
OG0000716	1	0	0	2	0	0	4	4
OG0000722	3	0	1	0	0	0	5	4
OG0000727	2	0	1	1	0	0	5	4
OG0000741	4	1	0	0	0	0	5	5
OG0000751	3	0	1	0	0	0	5	4
OG0000816	3	0	0	0	0	0	4	4
OG0000820	3	1	0	0	0	0	4	4
OG0000824	1	0	0	2	0	0	4	4
OG0000845	3	1	0	0	0	0	4	4
OG0000850	2	0	0	1	0	0	4	4
OG0000851	3	1	0	0	0	0	4	4
OG0000919	3	1	0	0	0	0	4	4
OG0000928	3	1	0	0	0	0	4	4
OG0000930	3	1	0	0	0	0	4	4
OG0000962	3	1	0	0	0	0	4	4
OG0001008	3	1	0	0	0	0	4	4
OG0001093	3	1	0	0	0	0	4	4
