	Aque	Beraby	Berova	Bolinf	Bolmic
Aque	0	1	0	0	2
Beraby	0	0	0	2	0
Berova	0	0	0	0	1
Bolinf	0	2	0	0	1
Bolmic	2	1	6	2	0
